BD;ID;TIPO;SUBTIPO;FECHA;DETONANTE;DETONANDES;FUENTE;SUBREGION;MUNICIPIO;PUEBLO;SITIO;INCERTIDUMB;NORTE;ESTE;FALLECIDOS;ECONOMICAS;NOTAS;LINKFOTO;CPU
ant;670;Debris Flow;;1950-04-23;Rainfall;Lluvias - Mal tiempo;El Colombiano;Suroeste;Titiribí;;Qbda. Santa Isabel.;High;6.0633238;-75.793768;0;0;(di6author : c.p. di6date : );
ant;671;Landslide;;1956-10-20;Unknown;Otra causa - No se sabe;El Colombiano;Suroeste;Titiribí;;;High;6.0633238;-75.793768;0;0;(di6author : c.p. di6date : 25/01/2001);
ant;672;Landslide;;1973-06-27;Unknown;Otra causa - No se especifica;El Colombiano;Suroeste;Titiribí;;;High;6.0633238;-75.793768;2;0;(di6author : c.p. di6date : );
ant;673;Landslide;;1980-10-20;Unknown;Otra causa - No se sabe;El Colombiano;Suroeste;Titiribí;;Vereda el Morro.;High;6.0633238;-75.793768;4;0;(di6author : c.p. di6date : );
ant;674;Landslide;;1982-01-08;Unknown;Otra causa - No se sabe;El Colombiano;Suroeste;Titiribí;;Carretera Titiribi-Sinifana-Otramina.;High;6.0633238;-75.793768;0;0;(di6author : c.p. di6date : );
ant;675;Landslide;;1982-01-08;Unknown;Otra causa - No se sabe;El Colombiano;Suroeste;Titiribí;;Vía Albania-Titiribi;High;6.0633238;-75.793768;0;0;(di6author : c.p. di6date : );
ant;676;Landslide;;1988-09-09;Unknown;Otra causa - No se sabe;El Colombiano;Suroeste;Titiribí;;Vía Titiribi-La Meseta.;High;6.0633238;-75.793768;0;0;(di6author : c.p. di6date : );
ant;677;Landslide;;1989-10-06;Unknown;Otra causa - No se especifica;El Colombiano;Suroeste;Titiribí;;Vía Titiribí - Sinifana.;High;6.0633238;-75.793768;0;0;(di6author : c.p. di6date : );
ant;678;Landslide;;1990-11-03;Unknown;Otra causa - No se sabe;El Colombiano;Suroeste;Titiribí;;Vía Titiribi-Armenia Km 8.;High;6.0633238;-75.793768;0;0;(di6author : c.p. di6date : );
ant;679;Debris Flow;;1944-03-20;Rainfall;Lluvias - Fuerte invierno;El Colombiano;Suroeste;Titiribí;;;High;6.0633238;-75.793768;0;0;(di6author : c.p. di6date : );
ant;936;Landslide;;1995-08-08;Rainfall;Lluvias - Fuerte invierno;El Colombiano;Suroeste;Titiribí;;Entre Otramina y Albania.;High;6.0633238;-75.793768;0;0;Ver pag 7a del colombiano del 24/08/1995. (DI6Author : C.P. DI6Date : 23/06/01);
ant;1119;Landslide;;2003-06-15;Erosion;Deslizamiento - Socavación de orillas de quebrada sinifaná caída de rocas;Vía Telefónica;Suroeste;Titiribí;;Quebrada la Sinifaná;High;6.0633238;-75.793768;0;68;La emergencia fue atendida por una comisión del clopad del municipio la población evacuada fue albergada por vecinos y familiares. se solicita al dapard visita técnica y apoyo economico para el proyecto de reubicación. la ingeniera civil del dapard r;
ant;1272;Debris Flow;;2006-03-22;Rainfall;Lluvias - Avenida torrencial;Municipio;Suroeste;Titiribí;;áRea urbana sector Guanteros Pablo Ii y Manizales;High;6.0633238;-75.793768;0;0;El dapard realizo asesoria en el sitio. familias alojadas en la escuela urbana. poe evaluar apoyo (DI6Author : GILBERTO ARI DI6Date : 22.03.2006);
ant;1845;Debris Flow;;2011-08-31;Rainfall;Vendaval;Rad 128248;Suroeste;Titiribí;;La Albania;High;6.0633238;-75.793768;0;0;;
ant;2230;Landslide;;2018-05-08;Rainfall;Lluvias;El Tiempo;Suroeste;Titiribí;;Vía la Mansa- Primavera: en el Kilómetro 66+900, en el Secto;High;6.0633238;-75.793768;0;0;Hay cierre total de la vía;
ant;2320;Landslide;;2019-05-08;Rainfall;Lluvias;El Colombiano;Suroeste;Titiribí;;Sector la Huesera;High;6.0633238;-75.793768;0;0;Via completamente bloqueada y municipio incomunicado;
ant;8415;Landslide;;2021-10-08;Rainfall;;El Colombiano;Occidente;Armenia;Corregimiento La Herradura;Sector de Palma Verde;Mid;6.146;-75.807;0;0;1.800 las personas afectadas por la pérdida de banca que dañó la carretera que conduce a los sectores Palmichal, Filo Seco y La Pescadora;
ant;8570;Landslide;;2022-06-14;Rainfall;;Sec. Infraestructura;Occidente;Armenia;Armenia;Vía Armenia Mantequilla - Pueblito;High;6.156;-75.788;0;0;Cierre total de la vía Armenia Mantequilla - Pueblito por Deslizamiento;
ant;8696;Landslide;;2023-05-30;Unknown;;Dagran;Occidente;Armenia;Armenia;Armenia;High;6.155907;-75.787384;0;1 vivienda afectada;Armenia: un movimiento en masa comprometió la estructura de una vivienda. Los afectados se encuentran autoalbergados;
ant;269;Landslide;;1984-09-26;Rainfall;Lluvias - Fuertes lluvias;El Colombiano;Occidente;Armenia;;Entrada al Municipio.;High;6.1563272;-75.7876261;0;0;(di6author : di6date : );
ant;270;Landslide;;1986-10-04;Rainfall;Lluvias - Época invernal;El Colombiano;Occidente;Armenia;La Loma;;Mid;6.1563272;-75.7876261;0;0;(di6author : di6date : );
ant;1423;Landslide;;2008-07-01;Rainfall;Vendaval;Alcaldía;Occidente;Armenia;La Herradura;La Pescadora Filosofia Herradura;Mid;6.1563272;-75.7876261;0;120;Se solicita visita tecnica y materiales para ayuda humanitaria se recibe acta 002 del clopad (DI6Author : PABLO PUERTA DI6Date : 2008-09-04);
ant;1655;Landslide;;2010-08-06;Rainfall;Vendaval;R 238664;Occidente;Armenia;;Pescadora, Cumbre y el Silencio;High;6.1563272;-75.7876261;0;30;;
ant;1900;Landslide;;2011-12-30;Rainfall;Vendaval;Rad 001470;Occidente;Armenia;;Filo Seco;High;6.1563272;-75.7876261;0;50;;
ant;8817;Landslide;;2005-11-10;Unknown;;Unknown;;Angelópolis;Unknown;Unknown;Low;6.13;-75.7;3;5;VEREDA LA BALASTRERA. REPORTE TELEFONICO DEL CREPAD A RADIOCOMUNICACIONES0;
ant;244;Debris Flow;;1971-03-29;Rainfall;Lluvias - Fuertes lluvias;El Colombiano;Suroeste;Andes;;6º06´47´´ Y 75º43´01´´.;Low;6.11305555555556;-75.7169444444445;0;0;(di6author : c.p. di6date : 8/04/01);
ant;8818;Landslide;;1950-12-05;Rainfall;;EL COLOMBIANO;;Andes;Vesubio.;Unknown;Low;6.12;-75.71;3;0;Fuertes lluvias.(DI6Author : C.P. DI6Date : 8/04/01);
ant;8433;Landslide;;2021-11-09;Rainfall;;Minuto 30;Suroeste;Angelópolis;Angelópolis;Vía Amagá – Angelópolis;Mid;6.111;-75.709;0;0;La vía Amagá – Angelópolis tiene cierre por un deslizamiento de tierra, pérdida de bancada y caída de un puente;
ant;1202;Debris Flow;;2005-05-24;Unknown;Deslizamiento - Deslizamiento que afecta la estructura de una escuela;Municipio;Suroeste;Angelópolis;;;High;6.1113686;-75.709441;0;400;Deslizamiento de tierra contra estructura institución educativa estación angelópolis afectando la parte de atrás. piden materiales como cemento y varillas. en proceso de definición apoyo del dapard (DI6Author : Luz Dary DI6Date : 25-05-05);
ant;1532;Debris Flow;;2009-02-27;Rainfall;Vendaval;Unknown;Suroeste;Angelópolis;;La Estación;High;6.1113686;-75.709441;0;0;;
ant;1614;Landslide;;2010-05-10;Rainfall;Vendaval;Unknown;Suroeste;Angelópolis;;Santa Rita, la Balentina, Matadero;High;6.1113686;-75.709441;0;25;;
ant;1652;Landslide;;2010-07-26;Rainfall;Vendaval;05/36;Suroeste;Angelópolis;;Bellavista, Balastrera, Horizontes;High;6.1113686;-75.709441;0;0;;
ant;1756;Landslide;;2011-02-15;Rainfall;Vendaval;Rad 034956;Suroeste;Angelópolis;;Varias;High;6.1113686;-75.709441;0;0;;
ant;1791;Debris Flow;;2011-04-30;Rainfall;Vendaval;Rad 062032;Suroeste;Angelópolis;;San Isidro, Santa Ana;High;6.1113686;-75.709441;0;0;;
ant;1843;Landslide;;2011-08-30;Rainfall;Vendaval;Rad 128028;Suroeste;Angelópolis;;La Balastrera;High;6.1113686;-75.709441;0;0;;
ant;1995;Debris Flow;;2012-11-23;Rainfall;Lluvias;Reporte Cmgrd;Suroeste;Angelópolis;;Corregimiento la Estacion;High;6.1113686;-75.709441;0;55;;
ant;2015;Landslide;;2013-04-17;Rainfall;Lluvias;Reporte Cmgrd;Suroeste;Angelópolis;;Vereda Santa Barbara, sector Pajonal y Berrío Bellavista;High;6.1113686;-75.709441;0;91;;
ant;2065;Landslide;;2014-03-07;Rainfall;Lluvias;Reporte Cmgrd Rad 82;Suroeste;Angelópolis;;Corregimiento la Estacion, Vereda Santa Rita y casco urbano;High;6.1113686;-75.709441;0;36;;
ant;2225;Landslide;;2018-05-08;Rainfall;Lluvias;Caracol Radio;Suroeste;Angelópolis;;Vía de Angelópolis a Caldas, Km 10;High;6.1113686;-75.709441;0;0;;
ant;2243;Landslide;;2018-05-10;Rainfall;Lluvias;El Colombiano;Suroeste;Angelópolis;;Vía Angelópolis-Caldas;High;6.1113686;-75.709441;0;0;;
ant;2307;Landslide;;2018-12-04;Rainfall;Lluvias - Constantes lluvias;Teleantioquia;Suroeste;Angelópolis;;Sector de Miranda, Km 3 del casco Urbano.;High;6.1113686;-75.709441;0;11400;Aisladas 7 veredas. 3000 familias sin servicio de agua potable. productos agricolas y t de carbón sin comercializar.;
ant;8142;Landslide;;2020-09-16;Rainfall;Rainfall;Dagran;Suroeste;Angeolópolis;;Angeolópolis;Low;6.111;-75.71;0;10 viviendas afectadas;Se presentan afectaciones en vías terciarias y en 4 viviendas por movimiento en masa y 6 más en sus cubiertas esto debido a las fuertes lluvias.;
ant;8365;Landslide;;2021-08-18;Rainfall;;Gobernación de Antioquia;Suroeste;Angelópolis;Angelópolis;Vía entre las veredas Ciénaga, San isidro y Santa Ana;High;6.111;-75.71;0;350 familias afectadas;En Angelópolis las altas precipitaciones provocaron movimiento en masa afectando la vía que comunica a las veredas Ciénaga, San isidro y Santa Ana;
ant;8819;Landslide;;2007-09-02;Unknown;;Unknown;;Angelópolis;Vereda Santa Rita;Unknown;Mid;6.101;-75.71;1;0;DEBIDO AL DESLIZAMIENTO UN MINERO QUEDO ATRAPADO Y MURIO DE ASFIXIA;
ant;8820;Landslide;;2005-11-11;Rainfall;;Unknown;;Angelópolis;Vereda La Balastrera;Unknown;Mid;6.099;-75.707;3;5;1 FAMILIA AFECTADA;
ant;12;Landslide;;1999-09-15;Anthropic;Tala;Corantioquia;Suroeste;Titiribí;El Líbano;Vereda Campo Alegre;Mid;6.06668;-75.85004;0;0;En la vereda se presentan procesos geológicos que se combinan con elementos como: altas pendientes suelo inestable aguas abundantes etc. dichos procesos son conocidos por varias instituciones y vienen presentandose desde hace varios años. debido a los;
ant;8249;Debris Flow;;2021-05-18;Rainfall;;Devimar;Suroeste;Titiribí;Titiribí;Vía Peñalisa-Santafé de Antioquia entre los sectores El Golpe y El Morrón (PR 7 y y PR 14);low;6.057;-75.867;0;0;Cierre Total de la vía entre Santa Fe de Antioquia y Peñalisa por inundación de la vía debido al desbordamiento del río Cauca a la altura de los sectores El Golpe y El Morrón (PR 7 y y PR 14).;
ant;8290;Landslide;;2021-05-31;Unkown;;Devimar;Suroeste;Venecia;Bolombolo;Vía entre Bolombolo y Santa Fe de Antioquia (PR 7), sector El Golpe;Low;6.023;-75.847;0;0;Cierre total en la vía entre Bolombolo y Santa Fe de Antioquia (PR 7), sector El Golpe, por caída de material.;
ant;8513;Landslide;;2022-04-04;Unknown;;Invias;Suroeste;Concordia;Sector Peñitas;km 7+200 vía Bolombolo - Santa Fé de Antioquia;Low;6.024;-75.847;0;0;Cierre total por deslizamiento en la vía Bolombolo - Santa Fé de Antioquia, sector Peñitas, km 7+200;
ant;8402;Landslide;;2021-10-03;Unkown;;Devimar;Suroeste;Concordia;Sector El Golpe;km 7 Vía  Bolombolo y Santa Fe de Antioquia;Low;6.022;-75.847;0;0;Por la caída de material rocoso, hoy 3 de octubre continúa cerrada la vía entre Bolombolo y Santa Fe de Antioquia, sector El Golpe (PR 7).;
ant;8552;Landslide;;2022-05-02;Unknown;;Invias;Suroeste;Concordia;Sector Las Peñas;Km 7 vía Bolombolo - Santa Dé de Antioquia;Low;6.022;-75.847;0;0;Vía cerrada por deslizamiento;
ant;8569;Landslide;;2022-06-14;Unknown;;Devimar;Suroeste;Concordia;Sector Bolombolo;km 7 vía entre Bolombolo y Santa Fe de Antioquia;Low;6.022;-75.847;0;0;Caida de roca, cierre total del la vía entre Bolombolo y Santa Fe de Antioquia por caída de material, sector Bolombolo (PR 7);
ant;8561;Landslide;;2022-05-22;Unknown;;Invias;Suroeste;Concordia;Sector Arenera;Km 10  vía Bolombolo - Santa Fé de Antioquia;Low;6.041;-75.862;0;0;Caída de roca En la vía Bolombolo - Santa Fé de Antioquia, sector Arenera, km 10;
ant;8572;Landslide;;2022-06-17;Unknown;;Devimar;Suroeste;Concordia;Sector Morrón;Km 10 Vía entre Bolombolo y Santa Fe de Antioquia;Low;6.04;-75.861;0;0;Caida de rocas, cierre total de la vía entre Bolombolo y Santa Fe de Antioquia, sector Morrón (PR 10) por caída de material;
ant;8324;Landslide;;2021-06-19;Unkown;;Devimar;Suroeste;Venecia;Bolombolo;PR 45+300 vía entre Bolombolo y Peñalisa;Low;5.94;-75.857;0;0;Cierre total de la vía entre Bolombolo y Peñalisa en el kilómetro 45+300 por un derrumbe en el Suroeste antioqueño;
ant;8338;Landslide;;2021-06-26;Unkown;;Devimar;Suroeste;Salgar;Peñalisa;Pr 44+500 Vía Peñalisa-Santa Fé de Antioquia;Low;5.935;-75.861;0;0;Paso a un carril en la vía entre Santa Fe de Antioquia y Peñalisa, sector Peñalisa (Pr 44+500) por caída de material;
ant;8251;Debris Flow;;2021-05-18;Rainfall;;Caracol Radio;Suroeste;Salgar;Peñalisa;Peñalisa;low;5.934;-75.86;0;0;Inundaciones generadas por el desbordamiento del río Cauca en el municipio La Pintada y los corregimientos de Peñalisa en Salgar y Bolombolo en Venecia; donde el agua ingreso a las viviendas e incluso, en varios sectores el nivel del río tapó casi po;
ant;8521;Debris Flow;;2022-04-05;Rainfall;;Dagran;Suroeste;Salgar;Peñalisa;Peñalisa;Low;5.934;-75.86;0;0;Consejos Municipales de Gestión del Riesgo reportan y evalúan inundación por desbordamiento de río Cauca en Peñalisa-Salgar;
ant;8250;Debris Flow;;2021-05-18;Rainfall;;Blue Radio;Suroeste;Venecia;Bolombolo;Bolombolo;low;5.969;-75.839;0;120 Familias afectadas;Desbordamiento del río Cauca debido a las fuertes lluvias en el corregimiento Bolombolo del municipio de Venecia. La parte baja que son la inspección, la plaza, los mangos, parte de la estación y federación inundados.;
ant;8520;Debris Flow;;2022-04-05;Rainfall;;Dagran;Suroeste;Venecia;Bolombolo;Bolombolo;Low;5.97;-75.838;0;0;Consejos Municipales de Gestión del Riesgo reportan y evalúan inundación por desbordamiento de río Cauca en corregimientos Bolombolo-Venecia;
ant;8532;Landslide;;2022-04-23;Unknown;;El Colombiano;Suroeste;Titiribí;Sector Sinifaná;km 57+100 vía La Mansa - Primavera;Low;6;-75.807;0;0;Debido a la caída de material rocoso, la vía La Mansa - Primavera, kilómetro 57+100, ruta 6003, sector Sinifaná se encuentra cerrada de manera total;
ant;8802;Landslide;;2024-05-10;Unknown;;EL TIEMPO 12/05/2024;;Amaga;;Sector Sinifaná;Low;6.004;-75.8;2;0;El incidente ocurrió a las 10 am. tipo caida de rocas;
ant;8382;Landslide;;2021-09-12;Unkown;;Invias;Suroeste;Titiribí;Sector Sinifaná;km 59+250 Vía La Masa-Primavera;Low;6.001;-75.791;0;0;Sector Sinifaná se presenta cierre total por caídas de roca;
ant;8403;Landslide;;2021-09-30;Unkown;;Invias;Suroeste;Venecia;Sector Sinifaná;km 59+600 vía La Mansa - Primavera;Low;6.001;-75.791;0;0;Departamento de Antioquia en el sector Sinifaná se presenta cierre total por deslizamiento en el km 59+600;
ant;8553;Landslide;;2022-05-02;Unknown;;Invias;Suroeste;Titiribí;Sector Sinifana;km 59+800 vía Amagá - Bolombolo;Low;5.998;-75.783;0;0;Vía cerrada por deslizamiento;
ant;8683;Landslide;;2023-03-12;Unknown;;El Colombiano;Suroeste;Titiribí;sector Sinifaná;sector Sinifaná;Low;6.000637;-75.777827;0;Vía afectada;Un deslizamiento de grandes dimensiones se registró en la tarde de este domingo en las obras de Pacífico 1, a la altura del sector Sinifaná, en los límites entre el corregimiento Bolombolo, de Venecia, y el municipio de Titiribí;
ant;2281;Landslide;;2018-09-19;Unknown;Desconocida;El Colombiano;Suroeste;Amagá;;Sector conocido como la Huesera. Troncal del Café Km 78 + 60;Low;6.01;-75.77;0;0;El derrumbe no afectó a ningún transeúnte, según reportes oficiales. transito vehicular detenido durante 3 días.;
ant;8821;Landslide;;1997-04-23;Unknown;;Unknown;;Pueblorrico;Sector Puente Sinifana;Sector Puente Sinifana;Mid;6.011;-75.763;4;0;;
ant;49;Landslide;;1998-06-10;Anthropic;Error humano - Ganadería y deforestación;Corantioquia;Suroeste;Concordia;El Socorro;;Mid;6.120886;-75.9011082;0;0;El problema que se presenta en el sector del tanque del acueducto y sus alrededores es un deslizamiento el fenómeno se debe a la combinación de varios factores altas pendientes suelos meteorizados aguas lluvias y subsuperficiales deforestación y ganad;
ant;1184;Landslide;;2005-05-13;Rainfall;Lluvias - Lluvias torrenciales;Secretario Planeación;Suroeste;Concordia;Morelia;Sectores la Bomba San Pacho;Mid;6.05248;-75.98179;0;40;Se realizó visita de evaluación por parte del ingeniero geólogo posteriormente se presentará proyecto de reubicación de viviendas. (di6author : doraelena di6date : 05/23/05);
ant;8209;Debris Flow;;2020-10-22;Rainfall;;DAGRAN;Suroeste;Urrao;Vereda Arenales;Sector La Ciénaga o Brechoncito;low;6.133;-76.034;0;1 vivienda evacuada, 1 vivienda totalmente destruida, cierre total de la vía por 2 días, pérdida de animales;Sector conocido como La Ciénaga o Brechoncito - Vereda Arenales. Municipio de Urrao. 6° 7'58.18"N, 76°2'4.03"O. 22 de octubre de 2020. 1 vivienda evacuada, 1 vivienda totalmente destruida, cierre total de la vía por 2 días, pérdida de animales;
ant;8884;Landslide;;1974-10-06;Unknown;;BDOSSO;;Betulia;Zona Urbana;Zona Urbana;Low;6.11;-76;12;0;Deslizamiento en Cerros Villanueva y Bellavista.;
ant;8885;Landslide;;1974-10-04;Rainfall;;BDOD-21030-EL TIEMPO 1974-10-07 P.ppal-7;;Betulia;El Saladito  a 20 kms. de Betulia;El Saladito  a 20 kms. de Betulia;Low;6.11;-75.99;11;0;EL TIEMPO: Un alud de tierra atrap� en la madrugada de hoy un campamento de obreros y destruy� varias casas habitadas en una regi�n cafetera cercana a Betulia  y dej� un saldo de once muertos. El deslizamiento provocado por el fuerte invierno rep;
ant;8292;Landslide;;2021-06-01;Rainfall;;El Colombiano;Suroeste;Betulia;Sector El Basurero;vía Betulia- Concordía;High;6.114;-75.984;0;1 carro afectado;La Gobernación de Antioquia anunció que se habilitó de nuevo el paso por la vía Betulia- Concordía, la cual estaba cerrada por un deslizamiento que había dejado parcialmente atrapado un vehículo.;
ant;8574;Landslide;;2022-06-18;Unknown;;Sec. Infraestructura;Suroeste;Betulia;Betulia;Km 0+050 de la vía Betulia - Altamira;High;6.112;-75.985;0;0;Por movimiento en masa, se presenta cierre en el km 0+050 de la vía Betulia - Altamira;
ant;33;Landslide;;1996-09-06;Rainfall;Lluvias - Intenso invierno;Corantioquia;Suroeste;Betulia;;V. Los Animes;High;6.11278;-75.98467;0;0;En la vereda se observan dos deslizamientos con coronas alineadas. son de gran magnitud (megacárcavas) existe un predio con procesos de asentamientos agrietamientos humedales y cienagas localizadas en los asentamientos. las pendientes y la pluviosidad s;
ant;39;Landslide;;1996-10-30;Unknown;Otra causa - Altas pendientes roca frágil;Corantioquia;Suroeste;Betulia;;V. Villanueva V. Buena Vista.;High;6.11278;-75.98467;0;0;(di6author : c.p. di6date : 18/09/00);
ant;42;Landslide;;1997-07-02;Rainfall;Lluvias - Abundantes aguas después de una granizada;Corantioquia;Suroeste;Betulia;;V. Los Animes y el Coco.;High;6.11278;-75.98467;0;0;El deslizamiento tiene un área aproximada a cuadra y media presenta grietas con diferentes dimensiones y direcciones asi como asentamientos y un talud del cual se desprendió el material que afectó el acueducto municipal. el principal problema que se p;
ant;52;Landslide;;1998-09-17;Rainfall;Lluvias - Intensas lluvias;Corantioquia;Suroeste;Betulia;;V. la Fosforera.;High;6.11278;-75.98467;0;0;Se pudo observar que la principal causa de degradación en un amplio sector incluyendo la cárcava es en primer lugar el uso inadecuado de la tierra valga decir la ganadería intensiva que por el trajinar permanente del ganado por el mismo sitio ha ocasi;
ant;55;Landslide;;1999-05-03;Rainfall;Lluvias - Intensas lluvias;Corantioquia;Suroeste;Betulia;;V. la Valdivia.;High;6.11278;-75.98467;0;0;El problema es un deslizamiento con agrietamientos y asentamientos. el fenómeno amenaza dos vías. debido al fuerte invierno y las condiciones topográficas del suelo etc la escuela rural la valdivia se vió afectada por falta de agua ya que el acueduct;
ant;56;Landslide;;1999-06-09;Rainfall;Lluvias - Intenso invierno;Corantioquia;Suroeste;Betulia;;B. el Guadual.;High;6.11278;-75.98467;0;0;(di6author : c.p. di6date : 20/10/00);
ant;173;Landslide;;1984-09-26;Rainfall;Lluvias - El invierno;El Colombiano;Suroeste;Betulia;;Vía Congrejo-Altamira. (Km19).;High;6.11278;-75.98467;0;0;(di6author : c.p. di6date : 7/02/01);
ant;278;Landslide;;1971-10-08;Rainfall;Lluvias - Altas precipitaciones;El Colombiano;Suroeste;Betulia;;;High;6.11278;-75.98467;2;0;(di6author : di6date : );
ant;279;Landslide;;1955-08-22;Rainfall;Lluvias - Fuertes lluvias;El Colombiano;Suroeste;Betulia;;La Sucre.;High;6.11278;-75.98467;0;0;(di6author : di6date : );
ant;280;Debris Flow;;1984-06-30;Rainfall;Lluvias - Fuertes lluvias;El Colombiano;Suroeste;Betulia;;;High;6.11278;-75.98467;6;0;(di6author : di6date : );
ant;281;Debris Flow;;1939-05-26;Rainfall;Lluvias - Fuertes lluvias;El Colombiano;Suroeste;Betulia;;Q. Buena Vista.;High;6.11278;-75.98467;0;0;(di6author : di6date : );
ant;282;Landslide;;1974-10-06;Rainfall;Lluvias - Época invernal;El Colombiano;Suroeste;Betulia;;La Sucre.;High;6.11278;-75.98467;11;0;(di6author : di6date : );
ant;283;Landslide;;1984-09-26;Rainfall;Lluvias - Época invernal;El Colombiano;Suroeste;Betulia;;Vía Betulia-Altamira Km 16.5.;High;6.11278;-75.98467;0;0;(di6author : di6date : );
ant;284;Landslide;;1984-11-01;Rainfall;Lluvias - Época invernal;El Colombiano;Suroeste;Betulia;;Vía Betulia-Altamira.;High;6.11278;-75.98467;0;0;(di6author : di6date : );
ant;285;Debris Flow;;1986-04-26;Rainfall;Lluvias - Fuertes lluvias;El Colombiano;Suroeste;Betulia;;;High;6.11278;-75.98467;0;0;(di6author : di6date : );
ant;1185;Landslide;;2005-05-14;Rainfall;Lluvias - Represamiento y taponamiento de quebradas (ola invernal);Secretario Planeación;Suroeste;Betulia;;Barrio Nuevo el Guadual Rancho Largo Cementerio.;High;6.11278;-75.98467;4;24;Se envió comisión sobrevuelo del dapard ingeniero civil obrras públicas; posteriormente visita de evaluación ingeniero geólogo dapard. suministros por valor de $ 3.766.000(mercados colchonetas frazadas y kit de cocina). (DI6Author : Dora Elena DI6Da;
ant;1688;Landslide;;2011-01-11;Rainfall;Vendaval;Rad 002255;Suroeste;Betulia;;Varias;High;6.11278;-75.98467;0;900;;
ant;1723;Landslide;;2010-11-15;Rainfall;Vendaval;R 295282;Suroeste;Betulia;;La Raya Los Animes el Chuchuco el Zacatin;High;6.11278;-75.98467;0;0;;
ant;1738;Debris Flow;;2010-12-02;Rainfall;Vendaval;R 304854;Suroeste;Betulia;;Río Cauca el Cangrejo;High;6.11278;-75.98467;0;0;;
ant;1743;Landslide;;2010-12-13;Rainfall;Vendaval;R 311623;Suroeste;Betulia;;La Ceibala y el Leon;High;6.11278;-75.98467;0;0;;
ant;1749;Landslide;;2011-01-03;Rainfall;Vendaval;Rad 002254;Suroeste;Betulia;;Varias;High;6.11278;-75.98467;0;10;;
ant;1769;Landslide;;2011-04-13;Rainfall;Vendaval;Rd 055029;Suroeste;Betulia;;El Cangrejo;High;6.11278;-75.98467;0;105;;
ant;1770;Landslide;;2011-04-13;Rainfall;Vendaval;Rad 055029;Suroeste;Betulia;;Varias;High;6.11278;-75.98467;0;15;;
ant;1777;Landslide;;2011-04-19;Rainfall;Vendaval;Rad 056274;Suroeste;Betulia;;Varias;High;6.11278;-75.98467;0;40;;
